CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0048,0.9608220170182876
C0001,C0107,0.9917930589676538
C0001,C0152,0.9944852815216094
C0002,C0177,0.9540465610942982
C0002,C0146,0.9621527283373107
C0002,C0142,0.9759425562668382
C0003,C0120,0.9646766294251211
C0003,C0052,0.9738051875865713
C0003,C0192,0.9783543184082617
C0004,C0155,0.9670169890977114
C0004,C0099,0.9779484214423163
C0004,C0113,0.9824073664891799
C0005,C0140,0.9721007630583773
C0005,C0123,0.9856681224926269
C0005,C0186,0.9937590196410089
C0006,C0187,0.9314387348706931
C0006,C0168,0.9698256685143583
C0006,C0158,0.9719692276221826
C0007,C0140,0.9018523368571469
C0007,C0043,0.9128372388207597
C0007,C0128,0.924648105237665
C0008,C0139,0.9335493987892501
C0008,C0098,0.9534629368491605
C0008,C0109,0.9748773294021581
C0009,C0121,0.969302597713247
C0009,C0063,0.9708026348946677
C0009,C0198,0.9812451445585963
C0010,C0061,0.9548605753630146
C0010,C0166,0.974657765377957
C0010,C0199,0.989293564183324
C0011,C0190,0.9767677823365869
C0011,C0048,0.9899649812214255
C0011,C0137,0.9940806234198516
C0012,C0113,0.9523285891508729
C0012,C0126,0.9684753988470883
C0012,C0169,0.9707000604792668
C0013,C0082,0.9684207295768636
C0013,C0104,0.9861593140280817
C0013,C0155,0.9916931407181367
C0014,C0110,0.8995784350222159
C0014,C0062,0.9207827343536272
C0014,C0073,0.96942118437545
C0015,C0042,0.9330260412366044
C0015,C0033,0.9574418383207955
C0015,C0036,0.9586350173539814
C0016,C0067,0.9370425796151625
C0016,C0072,0.9715924048836608
C0016,C0183,0.9998883288905329
C0017,C0124,0.9414416050050461
C0017,C0051,0.9560634140349866
C0017,C0075,0.983729944404667
C0018,C0160,0.9017406400055689
C0018,C0117,0.9460864888262945
C0018,C0079,0.9547052962309017
C0019,C0111,0.9302359695820159
C0019,C0081,0.9406572516547836
C0019,C0172,0.9966286946344903
C0020,C0176,0.9222023358934676
C0020,C0144,0.9868786444554963
C0020,C0058,0.998506043849373
